ID,desc,name,type,depertment,filePath
RQ-1,RQ-1's desc.,RQ-1's Name,Functional,Team B,201.248.87.55/requirement/RQ-1
RQ-2,RQ-2's desc.,RQ-2's Name,Functional,Team A,201.248.87.55/requirement/RQ-2
RQ-3,RQ-3's desc.,RQ-3's Name,Functional,Team B,201.248.87.55/requirement/RQ-3
RQ-4,RQ-4's desc.,RQ-4's Name,Functional,Team B,201.248.87.55/requirement/RQ-4
RQ-5,RQ-5's desc.,RQ-5's Name,Non-Functional,Team D,201.248.87.55/requirement/RQ-5
RQ-6,RQ-6's desc.,RQ-6's Name,Functional,Team A,201.248.87.55/requirement/RQ-6
RQ-7,RQ-7's desc.,RQ-7's Name,Non-Functional,Team E,201.248.87.55/requirement/RQ-7
RQ-8,RQ-8's desc.,RQ-8's Name,Functional,Team A,201.248.87.55/requirement/RQ-8
RQ-9,RQ-9's desc.,RQ-9's Name,Functional,Team F,201.248.87.55/requirement/RQ-9
RQ-10,RQ-10's desc.,RQ-10's Name,Functional,Team A,201.248.87.55/requirement/RQ-10
RQ-11,RQ-11's desc.,RQ-11's Name,Functional,Team A,201.248.87.55/requirement/RQ-11
RQ-12,RQ-12's desc.,RQ-12's Name,Functional,Team D,201.248.87.55/requirement/RQ-12
RQ-13,RQ-13's desc.,RQ-13's Name,Non-Functional,Team F,201.248.87.55/requirement/RQ-13
RQ-14,RQ-14's desc.,RQ-14's Name,Functional,Team A,201.248.87.55/requirement/RQ-14
RQ-15,RQ-15's desc.,RQ-15's Name,Non-Functional,Team D,201.248.87.55/requirement/RQ-15
RQ-16,RQ-16's desc.,RQ-16's Name,Functional,Team C,201.248.87.55/requirement/RQ-16
RQ-17,RQ-17's desc.,RQ-17's Name,Non-Functional,Team E,201.248.87.55/requirement/RQ-17
RQ-18,RQ-18's desc.,RQ-18's Name,Non-Functional,Team A,201.248.87.55/requirement/RQ-18
RQ-19,RQ-19's desc.,RQ-19's Name,Functional,Team E,201.248.87.55/requirement/RQ-19
RQ-20,RQ-20's desc.,RQ-20's Name,Functional,Team B,201.248.87.55/requirement/RQ-20
RQ-21,RQ-21's desc.,RQ-21's Name,Functional,Team F,201.248.87.55/requirement/RQ-21
